LocationID,Borough,Zone,service_zone,Population,MedianHouseholdIncome,HousingUnits,Transport_CarAlone_pct,Transport_Carpool_pct,Transport_PublicTransit_pct,Transport_Walked_pct,Transport_Bicycle_pct,Transport_Other_pct,Transport_WorkFromHome_pct
131,Queens,Jamaica Estates,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
132,Queens,JFK Airport,Airports,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
133,Brooklyn,Kensington,Boro Zone,2736074.0,81027.0,1122521.0,17.0,4.2,51.3,9.1,2.2,2.1,14.1
134,Queens,Kew Gardens,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
135,Queens,Kew Gardens Hills,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
136,Bronx,Kingsbridge Heights,Boro Zone,1472654.0,46040.0,574059.0,23.1,5.1,54.5,7.2,0.5,2.8,6.8
137,Manhattan,Kips Bay,Yellow Zone,1694251.0,106403.0,932314.0,5.2,1.1,51.0,18.3,3.1,3.2,18.1
138,Queens,LaGuardia Airport,Airports,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
139,Queens,Laurelton,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
140,Manhattan,Lenox Hill East,Yellow Zone,1694251.0,106403.0,932314.0,5.2,1.1,51.0,18.3,3.1,3.2,18.1
141,Manhattan,Lenox Hill West,Yellow Zone,1694251.0,106403.0,932314.0,5.2,1.1,51.0,18.3,3.1,3.2,18.1
142,Manhattan,Lincoln Square East,Yellow Zone,1694251.0,106403.0,932314.0,5.2,1.1,51.0,18.3,3.1,3.2,18.1
143,Manhattan,Lincoln Square West,Yellow Zone,1694251.0,106403.0,932314.0,5.2,1.1,51.0,18.3,3.1,3.2,18.1
